City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ponta Do Sol,PT,2022-05-15 23:43:35,32.6667,-17.1,69.71,82,9,6.06
1,Kontagora,NG,2022-05-15 23:43:36,10.3999,5.4695,82.89,53,90,3.62
2,Husavik,IS,2022-05-15 23:43:37,66.0449,-17.3389,46.18,86,63,9.28
3,La Ronge,CA,2022-05-15 23:40:53,55.1001,-105.2842,48.42,49,75,11.5
4,East London,ZA,2022-05-15 23:43:37,-33.0153,27.9116,61.84,85,0,8.7
5,Nouadhibou,MR,2022-05-15 23:43:38,20.931,-17.0347,75.18,64,94,17.27
6,Bambous Virieux,MU,2022-05-15 23:43:15,-20.3428,57.7575,75.45,83,40,11.5
7,Puerto Ayora,EC,2022-05-15 23:43:39,-0.7393,-90.3518,73.54,94,87,1.01
8,Middleton,GB,2022-05-15 23:39:00,53.55,-2.2,57.58,91,100,15.64
9,Hasaki,JP,2022-05-15 23:43:40,35.7333,140.8333,55.8,89,100,16.13
10,Ust-Nera,RU,2022-05-15 23:43:40,64.5667,143.2,35.01,96,100,7.31
11,Hilo,US,2022-05-15 23:41:56,19.7297,-155.09,85.28,74,75,12.66
12,Elban,RU,2022-05-15 23:43:41,50.1018,136.5094,48.97,62,89,8.79
13,Ponta Delgada,PT,2022-05-15 23:43:42,37.7333,-25.6667,65.5,77,75,29.93
14,Beitbridge,ZW,2022-05-15 23:43:43,-22.2167,30.0,66.24,77,96,16.62
15,Hovd,MN,2022-05-15 23:43:43,48.0056,91.6419,60.3,22,100,4.83
16,Chuy,UY,2022-05-15 23:43:44,-33.6971,-53.4616,48.97,67,23,9.78
17,Coxim,BR,2022-05-15 23:43:45,-18.5067,-54.76,70.14,95,62,4.38
18,Goba,ET,2022-05-15 23:43:45,7.0167,39.9833,49.06,74,38,4.97
19,Maniitsoq,GL,2022-05-15 23:43:46,65.4167,-52.9,32.68,66,3,10.36
20,Ushuaia,AR,2022-05-15 23:39:56,-54.8,-68.3,51.46,46,40,17.27
21,Rio Gallegos,AR,2022-05-15 23:43:47,-51.6226,-69.2181,48.25,61,40,23.02
22,Karasburg,NA,2022-05-15 23:43:48,-28.0167,18.75,61.3,22,0,12.41
23,Rikitea,PF,2022-05-15 23:43:48,-23.1203,-134.9692,76.73,68,39,18.21
24,New Norfolk,AU,2022-05-15 23:43:50,-42.7826,147.0587,51.93,74,77,8.99
25,Castro,BR,2022-05-15 23:43:30,-24.7911,-50.0119,53.82,96,14,3.91
26,Inuvik,CA,2022-05-15 23:43:50,68.3499,-133.7218,40.06,75,75,2.3
27,Atuona,PF,2022-05-15 23:43:51,-9.8,-139.0333,78.67,74,15,16.8
28,Busselton,AU,2022-05-15 23:43:52,-33.65,115.3333,53.19,80,16,9.42
29,Thompson,CA,2022-05-15 23:43:52,55.7435,-97.8558,35.76,93,100,12.66
30,Albany,US,2022-05-15 23:43:53,42.6001,-73.9662,70.52,92,47,4.94
31,Sulya,IN,2022-05-15 23:43:54,12.5667,75.3833,76.12,98,100,1.19
32,Roma,US,2022-05-15 23:43:55,43.2128,-75.4557,78.94,53,0,8.05
33,Airai,TL,2022-05-15 23:43:56,-8.9266,125.4092,66.51,74,28,2.15
34,Palampur,IN,2022-05-15 23:43:56,32.1167,76.5333,74.61,21,84,7.94
35,Sept-Iles,CA,2022-05-15 23:39:01,50.2001,-66.3821,43.05,74,100,17.27
36,Sinjar,IQ,2022-05-15 23:43:57,36.3209,41.8754,66.87,61,3,12.64
37,San Cristobal,VE,2022-05-15 23:43:57,7.7669,-72.225,77.18,92,100,2.93
38,Pevek,RU,2022-05-15 23:43:58,69.7008,170.3133,27.01,80,100,3.74
39,Ribeira Grande,PT,2022-05-15 23:43:59,38.5167,-28.7,63.0,82,40,35.68
40,Esperance,AU,2022-05-15 23:43:59,-33.8667,121.9,51.64,74,100,2.15
41,Bredasdorp,ZA,2022-05-15 23:44:00,-34.5322,20.0403,54.32,84,0,3.6
42,Filingue,NE,2022-05-15 23:44:00,14.3521,3.3168,96.84,19,83,7.92
43,Vostok,RU,2022-05-15 23:44:01,46.4856,135.8833,45.81,65,30,9.89
44,Hobart,AU,2022-05-15 23:40:07,-42.8794,147.3294,52.27,73,20,19.57
45,Dikson,RU,2022-05-15 23:44:02,73.5069,80.5464,34.05,90,100,11.36
46,Guilin,CN,2022-05-15 23:44:03,25.2819,110.2864,59.11,83,95,6.85
47,Sao Pedro Do Sul,BR,2022-05-15 23:44:04,-29.6206,-54.1789,56.05,92,64,5.64
48,Punta Arenas,CL,2022-05-15 23:45:05,-53.15,-70.9167,42.91,81,0,4.61
49,Upernavik,GL,2022-05-15 23:45:05,72.7868,-56.1549,11.21,88,15,6.78
50,Luderitz,NA,2022-05-15 23:45:06,-26.6481,15.1594,70.57,29,48,5.1
51,Fort Saint James,CA,2022-05-15 23:45:06,54.4333,-124.25,50.05,76,100,9.66
52,Aklavik,CA,2022-05-15 23:45:06,68.2191,-135.0107,32.32,100,100,7.4
53,Kavaratti,IN,2022-05-15 23:45:07,10.5669,72.642,81.46,80,100,20.85
54,Sorland,NO,2022-05-15 23:45:08,67.667,12.6934,37.26,77,100,20.11
55,That Phanom,TH,2022-05-15 23:45:08,16.9364,104.7104,74.62,96,100,8.79
56,Yulara,AU,2022-05-15 23:45:09,-25.2406,130.9889,64.92,28,0,14.43
57,Zaysan,KZ,2022-05-15 23:45:09,47.4667,84.8667,60.04,58,98,5.57
58,Vaini,TO,2022-05-15 23:45:10,-21.2,-175.2,77.16,69,40,6.91
59,Parana,AR,2022-05-15 23:42:57,-31.732,-60.5238,53.55,75,0,8.14
60,Teyateyaneng,LS,2022-05-15 23:45:10,-29.1472,27.7489,46.62,54,0,4.0
61,Barcelos,PT,2022-05-15 23:45:11,41.5388,-8.6151,62.92,85,92,13.53
62,Carutapera,BR,2022-05-15 23:45:11,-1.195,-46.02,77.68,92,73,6.85
63,Saskylakh,RU,2022-05-15 23:45:12,71.9167,114.0833,33.49,100,100,5.77
64,Techiman,GH,2022-05-15 23:45:12,7.5862,-1.9414,72.36,95,59,4.45
65,Camacha,PT,2022-05-15 23:45:13,33.0833,-16.3333,63.82,88,0,6.91
66,Taltal,CL,2022-05-15 23:45:14,-25.4,-70.4833,60.13,80,89,4.52
67,Vila Velha,BR,2022-05-15 23:45:15,-20.3297,-40.2925,73.35,78,40,5.75
68,Barth,DE,2022-05-15 23:45:16,54.3635,12.7249,46.09,80,38,3.94
69,Tasiilaq,GL,2022-05-15 23:45:16,65.6145,-37.6368,35.76,98,100,11.12
70,Abha,SA,2022-05-15 23:45:17,18.2164,42.5053,64.22,9,0,5.75
71,Tuktoyaktuk,CA,2022-05-15 23:45:17,69.4541,-133.0374,39.2,81,100,3.44
72,Rocha,UY,2022-05-15 23:45:18,-34.4833,-54.3333,44.26,74,3,7.2
73,Touros,BR,2022-05-15 23:45:18,-5.1989,-35.4608,77.74,89,47,9.44
74,Enshi,CN,2022-05-15 23:45:19,30.3,109.4833,57.92,83,44,0.56
75,Kijang,KR,2022-05-15 23:45:19,35.2442,129.2139,60.53,32,100,2.19
76,Athabasca,CA,2022-05-15 23:45:20,54.7169,-113.2854,64.81,35,45,1.5
77,Cape Town,ZA,2022-05-15 23:40:49,-33.9258,18.4232,61.12,83,0,7.0
78,Spasskoye,RU,2022-05-15 23:45:20,44.6108,132.7969,55.44,54,27,8.77
79,Coswig,DE,2022-05-15 23:45:21,51.1333,13.5833,58.41,71,0,3.44
80,Port Lincoln,AU,2022-05-15 23:45:20,-34.7333,135.8667,59.5,59,85,15.77
81,Dorado,PR,2022-05-15 23:45:21,18.4588,-66.2677,81.18,87,43,9.86
82,Pafos,CY,2022-05-15 23:45:22,34.7667,32.4167,60.58,77,20,6.91
83,Eseka,CM,2022-05-15 23:45:23,3.65,10.7667,73.02,99,100,0.94
84,Fort Nelson,CA,2022-05-15 23:40:47,58.8053,-122.7002,60.39,33,75,12.66
85,Avarua,CK,2022-05-15 23:45:23,-21.2078,-159.775,80.65,65,75,4.61
86,Veraval,IN,2022-05-15 23:45:24,20.9,70.3667,82.81,79,0,13.78
87,Khatanga,RU,2022-05-15 23:45:24,71.9667,102.5,32.41,99,100,1.21
88,Yuncheng,CN,2022-05-15 23:45:25,35.0231,110.9928,64.96,29,80,7.76
89,Qaanaaq,GL,2022-05-15 23:45:16,77.484,-69.3632,22.53,75,99,4.52
90,Vardo,NO,2022-05-15 23:44:38,70.3705,31.1107,37.38,81,100,6.91
91,Pangnirtung,CA,2022-05-15 23:45:25,66.1451,-65.7125,18.57,95,43,3.87
92,Santa Maria Da Boa Vista,BR,2022-05-15 23:45:26,-8.8078,-39.8256,78.21,62,100,7.78
93,Nagarote,NI,2022-05-15 23:45:26,12.2659,-86.5647,94.68,66,94,8.14
94,Port Elizabeth,ZA,2022-05-15 23:46:27,-33.918,25.5701,55.69,97,0,2.3
95,Hermanus,ZA,2022-05-15 23:46:27,-34.4187,19.2345,58.8,66,0,9.53
96,Tiksi,RU,2022-05-15 23:46:28,71.6872,128.8694,13.51,93,91,5.26
97,Miramar,US,2022-05-15 23:46:06,25.9873,-80.2323,82.99,77,20,13.8
98,Barrow,US,2022-05-15 23:46:28,71.2906,-156.7887,33.82,75,0,8.05
99,Shcherbynivka,UA,2022-05-15 23:46:29,48.3949,37.791,48.88,91,37,8.93
100,Luanda,AO,2022-05-15 23:46:29,-8.8368,13.2343,78.8,83,75,6.91
101,Mpanda,TZ,2022-05-15 23:46:30,-6.3655,31.0409,66.56,79,93,0.78
102,Christchurch,NZ,2022-05-15 23:46:30,-43.5333,172.6333,58.41,95,75,6.91
103,Belle Fourche,US,2022-05-15 23:46:31,44.6714,-103.8522,70.09,35,15,10.47
104,Monrovia,LR,2022-05-15 23:46:31,6.3005,-10.7969,78.57,83,82,9.82
105,Elk Grove Village,US,2022-05-15 23:42:20,42.0039,-87.9704,66.97,56,100,8.05
106,Alofi,NU,2022-05-15 23:46:32,-19.0595,-169.9187,80.49,57,80,13.8
107,North Myrtle Beach,US,2022-05-15 23:46:32,33.816,-78.68,77.38,84,0,13.8
108,Kapaa,US,2022-05-15 23:46:33,22.0752,-159.319,80.92,72,0,9.22
109,Ilulissat,GL,2022-05-15 23:45:30,69.2167,-51.1,26.62,50,14,0.0
110,Gotsu,JP,2022-05-15 23:46:33,35.0,132.2167,61.45,63,100,3.15
111,Nioro,GM,2022-05-15 23:46:34,13.35,-15.75,79.99,56,4,10.6
112,Bayir,TR,2022-05-15 23:46:34,37.2687,28.2167,52.32,57,0,3.13
113,Jamestown,US,2022-05-15 23:46:35,42.097,-79.2353,74.84,35,0,8.05
114,Faya,SA,2022-05-15 23:46:35,18.3851,42.4509,64.51,12,2,6.91
115,Leningradskiy,RU,2022-05-15 23:45:28,69.3833,178.4167,25.93,76,99,2.24
116,Funadhoo,MV,2022-05-15 23:46:36,6.15,73.2667,79.9,87,100,18.84
117,Dalvik,IS,2022-05-15 23:46:36,65.9702,-18.5286,49.93,82,77,7.11
118,Kargasok,RU,2022-05-15 23:46:37,59.0556,80.8572,52.52,76,14,7.92
119,Karratha,AU,2022-05-15 23:46:38,-20.7377,116.8463,75.15,43,2,14.79
120,Georgetown,MY,2022-05-15 23:45:13,5.4112,100.3354,80.53,99,40,3.44
121,Stornoway,GB,2022-05-15 23:46:38,58.2093,-6.3865,55.36,75,78,11.5
122,Jumla,NP,2022-05-15 23:46:39,29.2747,82.1838,53.38,68,2,5.48
